,De standaard,Trouw,De Volkskrant,Het volk,Het volk : dagblad voor de arbeiderspartij,Het vrĳe volk : democratisch-socialistisch dagblad,De Telegraaf
1971-01-01 1971-12-31,0,58716,44030,0,0,63434,69468
1972-01-01 1972-12-31,0,58746,47503,0,0,63653,62626
1973-01-01 1973-12-31,0,58937,45039,0,0,61132,64949
1974-01-01 1974-12-31,0,56744,44405,0,0,62681,66253
1975-01-01 1975-12-31,0,61011,44411,0,0,58578,64766
1976-01-01 1976-12-31,0,60020,49228,0,0,56498,65134
1977-01-01 1977-12-31,0,60803,54458,0,0,61299,67785
1978-01-01 1978-12-31,0,62662,55396,0,0,61772,69525
1979-01-01 1979-12-31,0,61061,52301,0,0,61047,66331
1980-01-01 1980-12-31,0,61253,48460,0,0,67912,68710
1981-01-01 1981-12-31,0,59923,47882,0,0,62285,68943
1982-01-01 1982-12-31,0,64563,49213,0,0,57957,68830
1983-01-01 1983-12-31,0,71948,55064,0,0,65253,75112
1984-01-01 1984-12-31,0,73942,57152,0,0,71419,74986
1985-01-01 1985-12-31,0,73518,60562,0,0,81875,80227
1986-01-01 1986-12-31,0,78279,70518,0,0,86791,80656
1987-01-01 1987-12-31,0,82437,58439,0,0,80554,79479
1988-01-01 1988-12-31,0,81995,57745,0,0,66059,77510
1989-01-01 1989-12-31,0,79847,56682,0,0,65153,83697
1990-01-01 1990-12-31,0,77782,51045,0,0,71030,85861
1991-01-01 1991-12-31,0,71605,53387,0,0,14671,85606
1992-01-01 1992-12-31,0,66770,51667,0,0,0,82223
1993-01-01 1993-12-31,0,63143,48693,0,0,0,75478
1994-01-01 1994-12-31,0,62856,49694,0,0,0,79632
1995-01-01 1995-12-31,0,63929,59908,0,0,0,0
1996-01-01 1996-12-31,0,0,0,0,0,0,0
1997-01-01 1997-12-31,0,0,0,0,0,0,0
1998-01-01 1998-12-31,0,0,0,0,0,0,0
1999-01-01 1999-12-31,0,0,0,0,0,0,0
2000-01-01 2000-12-31,0,0,0,0,0,0,0
2001-01-01 2001-12-31,0,0,0,0,0,0,0
2002-01-01 2002-12-31,0,0,0,0,0,0,0
2003-01-01 2003-12-31,0,0,0,0,0,0,0
2004-01-01 2004-12-31,0,0,0,0,0,0,0
2005-01-01 2005-12-31,0,0,0,0,0,0,0
2006-01-01 2006-12-31,0,0,0,0,0,0,0
2007-01-01 2007-12-31,0,0,0,0,0,0,0
2008-01-01 2008-12-31,0,0,0,0,0,0,0
2009-01-01 2009-12-31,0,0,0,0,0,0,0
